gidx,widx,tidx,x_euler_0,y_euler_0,z_euler_0,r0_0,r1_0,r2_0,r3_0,r4_0,r5_0,r6_0,r7_0,r8_0,x_euler_1,y_euler_1,z_euler_1,r0_1,r1_1,r2_1,r3_1,r4_1,r5_1,r6_1,r7_1,r8_1,x_euler_2,y_euler_2,z_euler_2,r0_2,r1_2,r2_2,r3_2,r4_2,r5_2,r6_2,r7_2,r8_2,x_euler_3,y_euler_3,z_euler_3,r0_3,r1_3,r2_3,r3_3,r4_3,r5_3,r6_3,r7_3,r8_3,x_euler_4,y_euler_4,z_euler_4,r0_4,r1_4,r2_4,r3_4,r4_4,r5_4,r6_4,r7_4,r8_4,x_euler_5,y_euler_5,z_euler_5,r0_5,r1_5,r2_5,r3_5,r4_5,r5_5,r6_5,r7_5,r8_5
4,4,22,17.7420441485015,7.87095290191148,-119.683366137979,-0.490541137925821,0.806789404696362,-0.329333035804382,-0.860590598759988,-0.507908148923579,0.0375916690630944,-0.13694237228983,0.301861174593079,0.943465218195626,-23.2943751566445,8.1143794734006,-136.55312622094,-0.718743677180898,0.672150308409127,0.17782432178416,-0.6807968057409,-0.628446286229714,-0.37625918542551,-0.141149692898951,-0.391496140759519,0.909289577618118,-11.0601448112916,-11.1030423694749,-89.2874410072854,0.0122034050081667,0.981809883030392,0.189474089231364,-0.981206555010251,-0.0247352291825246,0.191368400845599,0.192574072271219,-0.188248564459696,0.963056438983584,6.69779097400793,-3.73518581948236,-144.574958647472,-0.813143584423524,0.581872877485513,-0.0148817189059105,-0.57840610636172,-0.804909036620061,0.132543649002288,0.0651451244095843,0.116384694930631,0.991065444636007,-0.632764986837814,-1.37014431616252,-143.669670923593,-0.805384454557891,0.592190843410666,0.0258047541560505,-0.592270320427819,-0.805722106830784,0.00526821644308319,0.0239112504235628,-0.0110404503860597,0.999653120116401,-5.15186422503469,4.66483799405137,-126.039594733021,-0.586395290513028,0.809640544179769,0.0249550092052009,-0.805932071854649,-0.5800622558146,-0.118326983124525,-0.0813268640746477,-0.0894984279167353,0.99266105624237
4,4,23,17.7011994032983,7.87647681469485,-119.435070516111,-0.486800618040084,0.80920329235385,-0.328960772615038,-0.862696806189699,-0.5044580488634,0.0357253065350824,-0.137037873837439,0.301184509197638,0.943667585833853,-23.0865101566317,8.22908949289767,-136.185422619361,-0.714154453430846,0.677379738968956,0.176465594038154,-0.68519837259377,-0.624938525711506,-0.374105639193502,-0.1431314320467,-0.388083146137369,0.9104421260269,-10.8329967020278,-11.3175752407756,-89.1602157778251,0.0143714725170687,0.982614266713569,0.185101765601105,-0.980449183533098,-0.0224847732040642,0.19548358878239,0.196246934465157,-0.184292261977863,0.963080216227138,6.84609758537703,-3.38947174598755,-144.332289538445,-0.810991112045704,0.584651607079412,-0.0218154652101795,-0.582063479146934,-0.802510345009619,0.131069647119046,0.059122943315115,0.118994304451959,0.991133105633019,-0.530169443286704,-1.10858077457367,-143.754863069989,-0.806343834726044,0.591071507260991,0.0210735261292462,-0.591130532900957,-0.806566107670085,0.00397580559922474,0.0193471773530604,-0.00925133839787937,0.999770023288516,-4.90487780786605,4.36637807442695,-126.164017319994,-0.588386064521114,0.808215930799053,0.0242661962403978,-0.804987865503283,-0.582682448168457,-0.111694677531578,-0.0761339311333927,-0.0852535852562014,0.993446249543045
4,4,24,17.6504733254861,7.89314374745889,-119.196926271442,-0.483191243165496,0.811541459670837,-0.32852196542014,-0.864677851981208,-0.501196816779489,0.0336743692334829,-0.13732601654948,0.300336827720872,0.943895839112143,-22.8831295850069,8.33757986211643,-135.782290464782,-0.709120260590809,0.682913613377558,0.17543503835674,-0.690015905782424,-0.620968534234498,-0.371854984177865,-0.145005192275603,-0.384742870179899,0.911562624320924,-10.6144505598109,-11.5203670970128,-89.0305968892209,0.0165776255325797,0.983370634688992,0.180851809952434,-0.979713528755015,-0.0201533442214741,0.199387171831809,0.199716258492137,-0.180488330780858,0.963087419991478,7.00541342483737,-3.04159433658914,-144.070448551632,-0.808598402037483,0.587649675787343,-0.0289220118501832,-0.585963449814154,-0.799896703149125,0.129661481454819,0.0530609056116296,0.121791308549479,0.991136427267952,-0.425298789559498,-0.84956962578277,-143.816933999131,-0.807046104760314,0.590262044286089,0.0163494301555665,-0.590302242610447,-0.807177572339326,0.00276207919323583,0.014827243853181,-0.00742198003229327,0.999862524076245,-4.64222509519473,4.05578691071625,-126.290210342663,-0.590393209220947,0.806773285304301,0.0235100962375201,-0.804010849522211,-0.585319914551437,-0.104724168557558,-0.0707277339971014,-0.0807308104059697,0.994223377262289
4,4,25,17.6069079052375,7.89288497207061,-118.958632952233,-0.479591177097304,0.813869233278722,-0.328038372713816,-0.866680504406503,-0.497840526057886,0.0319329594008571,-0.137321542855123,0.299619227915556,0.944124521517779,-22.6888168710175,8.42908462394645,-135.365170743689,-0.703912428610403,0.688450058099953,0.174767875623574,-0.6949964574929,-0.616805445488169,-0.369500969536566,-0.146585186564418,-0.381559379282326,0.912647370653946,-10.4539560296091,-11.7806237401343,-88.9184204081887,0.0184784089761781,0.983925085175131,0.177623126773575,-0.97876207436769,-0.0184754999134689,0.204165270509959,0.204165007239651,-0.177623429383794,0.962687159544976,7.17923932800362,-2.6992354857399,-143.783095944736,-0.805890903462155,0.590959796581238,-0.036143748306104,-0.590188181477613,-0.796983513632071,0.128433599353238,0.0470931222271539,0.124835082502242,0.991059251516053,-0.314155548077074,-0.59252531108148,-143.877993803128,-0.807720331869598,0.589451984125008,0.0115855036817172,-0.589475124420965,-0.807784809280701,0.00166720851386645,0.0103413332484054,-0.00548272801014374,0.999931495913701,-4.37195048235641,3.74059392191658,-126.437853954782,-0.592685206788129,0.805114483753184,0.0226917100580501,-0.802787691558856,-0.58822125969148,-0.0976097942246177,-0.0652393128115075,-0.0760685066095891,0.994966036790236
4,4,26,17.6078713105075,7.88550086343931,-118.672948633893,-0.475272337479789,0.816354414532277,-0.3281488611898,-0.869076546096411,-0.493741904445769,0.0304119847987333,-0.137193885620428,0.299640453990996,0.944136344009932,-22.5148619126966,8.50152923389416,-134.948046515182,-0.698702616036334,0.693796125250629,0.174532492479759,-0.69997087667616,-0.612553284541483,-0.367177403175426,-0.147835808075011,-0.37871547391763,0.913629664396989,-10.2737969433823,-12.0313472801771,-88.8344636939536,0.0198942257267753,0.984519341528596,0.17414329139772,-0.977831347517199,-0.0171543549378916,0.208690162488227,0.208446817187095,-0.174434498488011,0.962352601774322,7.36865228490386,-2.3785328936392,-143.492545658994,-0.803086969181269,0.59429239767852,-0.0432188152632818,-0.594414805826067,-0.793974836765058,0.127573497242413,0.0415013077625842,0.128142516931021,0.990887045433828,-0.200517306485584,-0.336186222141839,-143.957217099391,-0.808563949262992,0.58836897642778,0.00680349392306814,-0.588379054800842,-0.808584998771594,0.000622601967932361,0.00586752280802088,-0.0034996198177878,0.999976662146287,-4.09346610473295,3.41904168082301,-126.607696904473,-0.595271282416539,0.803228235581333,0.0218289233602571,-0.801308551268213,-0.591394025104379,-0.0903200572147685,-0.0596381253445061,-0.0712566392397229,0.995673533528763
4,4,27,17.6795331589807,7.89598684671174,-118.364991683732,-0.470582391130963,0.818558983072746,-0.329413728293734,-0.871596395389229,-0.489359231432326,0.0291078366847429,-0.137375167704968,0.300813453560301,0.943736896309113,-22.367788279308,8.55328955272023,-134.541499209352,-0.693624402540982,0.698815910165417,0.174761299775853,-0.704815444323159,-0.608310001510104,-0.36495771194253,-0.14872920911245,-0.376318038050872,0.914474907580481,-10.0832908131645,-12.2073077514584,-88.6847582415967,0.0224342849418875,0.985144630153234,0.170254986826803,-0.977131428889186,-0.0144119815942862,0.212147273052245,0.211449458585554,-0.171120870926882,0.962292457622475,7.57067058799939,-2.08353112165304,-143.215584740815,-0.800364795720589,0.597422275402543,-0.0500281782997181,-0.598409894044255,-0.791044736961639,0.127097690125496,0.0363564640894109,0.131661873669413,0.990627759827462,-0.0787078394503568,-0.0788430953027672,-144.04985493116,-0.80952737276121,0.587078993521897,0.00192044673232547,-0.58708052188645,-0.809528485161774,-0.000304192731828119,0.00137607117121498,-0.00137370921287863,0.999998109673779,-3.79190030421051,3.09170885408408,-126.782190582729,-0.597903150647339,0.801299909018249,0.0207431495518855,-0.799751781468904,-0.594607118190527,-0.0827010461510135,-0.0539343163792794,-0.0660365868629183,0.996358499091666
4,4,28,17.7574728943401,7.95733712764956,-118.119613298594,-0.466775739171969,0.820045755104892,-0.331127420874369,-0.873473506134529,-0.486096290690745,0.0274668938497487,-0.138435701325621,0.302051908967893,0.943186196298131,-22.2540820125699,8.5865746741937,-134.159351952415,-0.688847773469128,0.703359418804819,0.175425975742406,-0.709363914197087,-0.60420027870824,-0.362966748399733,-0.149303657763684,-0.374469693282961,0.915139807128371,-9.88181554174227,-12.336502591358,-88.4942000438492,0.0256713704965813,0.985787159676101,0.166026071912072,-0.976572300338897,-0.0107653971433718,0.214920097792506,0.213652809360472,-0.167653756420996,0.962416071670827,7.77158738324481,-1.82722162273932,-142.964427373053,-0.797855816743003,0.600220407987698,-0.0562277291417534,-0.602004487038869,-0.788332705684901,0.126973000014154,0.031885628023081,0.135155491869943,0.990311213580342,0.0541037837067662,0.182395986255721,-144.14873126375,-0.810535962358601,0.585680489655928,-0.00313333046597994,-0.585680219620931,-0.810541468626788,-0.00109908193892956,-0.00318340512575269,0.00094428423837886,0.999994487114346,-3.50950004634544,2.75345832899152,-126.973678222174,-0.600753686595081,0.799182304596719,0.0200661920128759,-0.797989547816246,-0.597970846305025,-0.0751235551959338,-0.0480384181509266,-0.0611433642248351,0.996972316262005
4,4,29,17.8071583348393,8.05606549151705,-117.944509875163,-0.463991639544058,0.820995437325652,-0.332683408548848,-0.87468392430626,-0.484025713082027,0.0254389786673445,-0.140142038637301,0.302796302761276,0.942695395151946,-22.1714135521575,8.59909772688141,-133.813095280156,-0.684525699747212,0.707309925757388,0.17645746034291,-0.713490296999754,-0.600401332149705,-0.361178399741822,-0.149519772848923,-0.373136582604734,0.915648911018447,-9.68044721112269,-12.448173018067,-88.3672772368183,0.0278227115724292,0.986393450140663,0.162030423810953,-0.976094938236079,-0.00814491578001264,0.217191924105943,0.21555641551729,-0.164199944782378,0.962587040148994,7.97837250883632,-1.60549236826877,-142.7304781977,-0.795483318295961,0.602798311265927,-0.0619716568101465,-0.6053274421209,-0.785737917383151,0.127258056726317,0.0280174611308194,0.138744805745426,0.989931765704308,0.197440836092289,0.436991860688974,-144.238505826384,-0.811433157389332,0.584387667998899,-0.0082027178415329,-0.584395467042665,-0.81146730024265,-0.00166094457777454,-0.007626872830002,0.00344588562102954,0.999964977728281,-3.22885013120465,2.41583451804296,-127.191032820994,-0.603937199709711,0.796795037581244,0.0194300512787905,-0.795916507392578,-0.601623540475706,-0.0675723967717441,-0.0421517741832261,-0.0562741826362743,0.997525159733742
4,4,30,17.8353881472051,8.17612807905373,-117.803382424586,-0.461697775331997,0.821724755771753,-0.334071234926532,-0.875562459649352,-0.482551864043396,0.0231101224795696,-0.142216537386698,0.303170124286838,0.942264470429423,-22.1061624574331,8.57976387682476,-133.492526249961,-0.680557725527105,0.710774449804665,0.177878789433284,-0.717345582232017,-0.596935466875686,-0.359281733515796,-0.149186118246917,-0.37211252315769,0.916119955154146,-9.47833653884399,-12.5612348008097,-88.2818095385987,0.0292659030676084,0.986978294617942,0.158168748084749,-0.975625282972462,-0.00622357732519468,0.219354904914804,0.217482905403028,-0.160733048992224,0.962738839363574,8.19182352815175,-1.41538821107694,-142.503065333959,-0.793143839493083,0.605300319721488,-0.0673377518130496,-0.608533258478687,-0.783148242525688,0.127930072907968,0.0247006720451657,0.14244421074228,0.989494579887392,0.35791641641285,0.677809858203449,-144.319683622125,-0.812227112464597,0.58319078431269,-0.0132524288405212,-0.583221377421207,-0.812311204097413,-0.00182554559587358,-0.0118297377965151,0.00624634217453643,0.999910516252882,-2.96329697006019,2.0842516563341,-127.436082058954,-0.607473848657174,0.794113125515703,0.0189701629229348,-0.793506658287884,-0.605570291652239,-0.0602644598500572,-0.0363690314751124,-0.0516620339505147,0.998002168232945
4,4,31,17.8666002771308,8.31126904015884,-117.659967618921,-0.459347748467635,0.822415437850321,-0.335607648248934,-0.876415829627902,-0.48111564052643,0.0205677908021609,-0.144550819974682,0.303579623865484,0.941777294490762,-22.0580703684244,8.52488258166671,-133.189570642746,-0.67685270442125,0.713828024886028,0.179777549780147,-0.721037892277696,-0.593728787341226,-0.357198103273317,-0.148238909930484,-0.371396927787011,0.91656398991723,-9.29844781790746,-12.7073589126282,-88.2205883932928,0.0302910305473746,0.987487860038947,0.154758456131093,-0.975035893569108,-0.0048816305122652,0.221993639403099,0.219971497517904,-0.157619465673638,0.962688238382753,8.40694693912416,-1.2486604890624,-142.268053606123,-0.790694635548355,0.607912012278063,-0.0724222247869512,-0.611822787522817,-0.780434383075854,0.128821777587573,0.0217915117159135,0.146168255928054,0.989019702016136,0.535355710862569,0.90401858612059,-144.390774144657,-0.812905819837056,0.582108620894322,-0.0182669525524436,-0.582181415253953,-0.813057361231724,-0.00158967915310185,-0.0157774461795115,0.0093424208541283,0.999831881550412,-2.70791449751252,1.75722831535022,-127.691942764951,-0.611128237742303,0.791311689874778,0.018657076445986,-0.790937392341007,-0.609586640303239,-0.0531240939745744,-0.0306646120274977,-0.0472222133252331,0.998413613758281
